city,month,day,avg_temp_f,precipitation_chance,conditions
"Atlanta","June",10,80,37,"Warm and Humid"
"Atlanta","June",15,80,33,"Warm and Humid"
"Atlanta","June",20,81,39,"Warm and Humid"
"Atlanta","June",25,84,31,"Warm and Humid"
"Atlanta","July",10,86,46,"Humid and Scattered Storms"
"Atlanta","July",15,84,46,"Humid and Scattered Storms"
"Atlanta","July",20,87,46,"Humid and Scattered Storms"
"Atlanta","July",25,84,50,"Humid and Scattered Storms"
"Boston","June",10,75,23,"Sunny and Mild"
"Boston","June",15,70,20,"Sunny and Mild"
"Boston","June",20,71,19,"Sunny and Mild"
"Boston","June",25,74,19,"Sunny and Mild"
"Boston","July",10,77,20,"Warm and Pleasant"
"Boston","July",15,81,29,"Warm and Pleasant"
"Boston","July",20,80,29,"Warm and Pleasant"
"Boston","July",25,81,27,"Warm and Pleasant"
"Dallas","June",10,92,17,"Hot and Sunny"
"Dallas","June",15,90,11,"Hot and Sunny"
"Dallas","June",20,89,20,"Hot and Sunny"
"Dallas","June",25,92,16,"Hot and Sunny"
"Dallas","July",10,97,12,"Extremely Hot"
"Dallas","July",15,94,14,"Extremely Hot"
"Dallas","July",20,93,7,"Extremely Hot"
"Dallas","July",25,98,14,"Extremely Hot"
"Houston","June",10,92,35,"Humid, Afternoon Breezes"
"Houston","June",15,87,29,"Humid, Afternoon Breezes"
"Houston","June",20,87,27,"Humid, Afternoon Breezes"
"Houston","June",25,88,30,"Humid, Afternoon Breezes"
"Houston","July",10,95,40,"Humid, Scattered Storms"
"Houston","July",15,91,37,"Humid, Scattered Storms"
"Houston","July",20,92,39,"Humid, Scattered Storms"
"Houston","July",25,95,36,"Humid, Scattered Storms"
"Kansas City","June",10,79,28,"Partly Cloudy"
"Kansas City","June",15,81,22,"Partly Cloudy"
"Kansas City","June",20,80,29,"Partly Cloudy"
"Kansas City","June",25,83,29,"Partly Cloudy"
"Kansas City","July",10,84,30,"Hot and Partly Cloudy"
"Kansas City","July",15,86,34,"Hot and Partly Cloudy"
"Kansas City","July",20,85,26,"Hot and Partly Cloudy"
"Kansas City","July",25,83,27,"Hot and Partly Cloudy"
"Los Angeles","June",10,70,3,"Clear and Sunny"
"Los Angeles","June",15,73,5,"Clear and Sunny"
"Los Angeles","June",20,71,4,"Clear and Sunny"
"Los Angeles","June",25,69,0,"Clear and Sunny"
"Los Angeles","July",10,75,2,"Clear and Warm"
"Los Angeles","July",15,75,0,"Clear and Warm"
"Los Angeles","July",20,80,4,"Clear and Warm"
"Los Angeles","July",25,77,0,"Clear and Warm"
"Miami","June",10,86,47,"Tropical Humid, Rain Risks"
"Miami","June",15,89,45,"Tropical Humid, Rain Risks"
"Miami","June",20,88,44,"Tropical Humid, Rain Risks"
"Miami","June",25,89,45,"Tropical Humid, Rain Risks"
"Miami","July",10,88,47,"Tropical Heat, Thunderstorms"
"Miami","July",15,85,47,"Tropical Heat, Thunderstorms"
"Miami","July",20,90,48,"Tropical Heat, Thunderstorms"
"Miami","July",25,90,52,"Tropical Heat, Thunderstorms"
"New York/New Jersey","June",10,77,27,"Sunny and Warm"
"New York/New Jersey","June",15,77,26,"Sunny and Warm"
"New York/New Jersey","June",20,79,20,"Sunny and Warm"
"New York/New Jersey","June",25,77,28,"Sunny and Warm"
"New York/New Jersey","July",10,87,34,"Humid and Sunny"
"New York/New Jersey","July",15,83,25,"Humid and Sunny"
"New York/New Jersey","July",20,82,34,"Humid and Sunny"
"New York/New Jersey","July",25,83,30,"Humid and Sunny"
"Philadelphia","June",10,80,21,"Warm, Clear Skies"
"Philadelphia","June",15,82,21,"Warm, Clear Skies"
"Philadelphia","June",20,81,22,"Warm, Clear Skies"
"Philadelphia","June",25,79,22,"Warm, Clear Skies"
"Philadelphia","July",10,86,31,"Humid and Sunny"
"Philadelphia","July",15,85,25,"Humid and Sunny"
"Philadelphia","July",20,82,26,"Humid and Sunny"
"Philadelphia","July",25,83,27,"Humid and Sunny"
"San Francisco Bay Area","June",10,71,8,"Mild and Sunny"
"San Francisco Bay Area","June",15,72,4,"Mild and Sunny"
"San Francisco Bay Area","June",20,67,0,"Mild and Sunny"
"San Francisco Bay Area","June",25,68,3,"Mild and Sunny"
"San Francisco Bay Area","July",10,71,0,"Clear, Evening Fog"
"San Francisco Bay Area","July",15,72,7,"Clear, Evening Fog"
"San Francisco Bay Area","July",20,72,0,"Clear, Evening Fog"
"San Francisco Bay Area","July",25,72,0,"Clear, Evening Fog"
"Seattle","June",10,70,10,"Pleasant, Partly Cloudy"
"Seattle","June",15,67,13,"Pleasant, Partly Cloudy"
"Seattle","June",20,68,11,"Pleasant, Partly Cloudy"
"Seattle","June",25,70,14,"Pleasant, Partly Cloudy"
"Seattle","July",10,73,14,"Warm and Sunny"
"Seattle","July",15,74,12,"Warm and Sunny"
"Seattle","July",20,73,6,"Warm and Sunny"
"Seattle","July",25,74,6,"Warm and Sunny"
"Toronto","June",10,76,20,"Sunny and Mild"
"Toronto","June",15,71,24,"Sunny and Mild"
"Toronto","June",20,73,20,"Sunny and Mild"
"Toronto","June",25,72,17,"Sunny and Mild"
"Toronto","July",10,77,26,"Warm and Breezy"
"Toronto","July",15,80,22,"Warm and Breezy"
"Toronto","July",20,80,25,"Warm and Breezy"
"Toronto","July",25,78,23,"Warm and Breezy"
"Vancouver","June",10,64,20,"Mild, Overcast Intervals"
"Vancouver","June",15,66,24,"Mild, Overcast Intervals"
"Vancouver","June",20,66,15,"Mild, Overcast Intervals"
"Vancouver","June",25,64,18,"Mild, Overcast Intervals"
"Vancouver","July",10,70,12,"Mild and Sunny"
"Vancouver","July",15,72,19,"Mild and Sunny"
"Vancouver","July",20,73,12,"Mild and Sunny"
"Vancouver","July",25,73,18,"Mild and Sunny"
"Guadalajara","June",10,83,43,"Warm, Evening Showers"
"Guadalajara","June",15,84,45,"Warm, Evening Showers"
"Guadalajara","June",20,85,47,"Warm, Evening Showers"
"Guadalajara","June",25,81,49,"Warm, Evening Showers"
"Guadalajara","July",10,74,65,"Rainy Season, Humid"
"Guadalajara","July",15,74,56,"Rainy Season, Humid"
"Guadalajara","July",20,78,60,"Rainy Season, Humid"
"Guadalajara","July",25,76,55,"Rainy Season, Humid"
"Mexico City","June",10,74,48,"Mild, Cloudy and Rainy"
"Mexico City","June",15,70,52,"Mild, Cloudy and Rainy"
"Mexico City","June",20,72,49,"Mild, Cloudy and Rainy"
